tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,Treatment,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,MeanEmergence,FocalSpecies,OtherSp,Temp,Parasitism,MeanGenTime,BIR_L,PAL_L,PAN_L,PSA_L,SIM_L,SUL_L,ObsGrRate,ObsCount_Pairs,Sp1_Dens,BIR,PAL,PAN,PSA,SIM,SUL,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
1531,0,0,0,8.5,0,0,Sp2,Hot Para,0,0,0,3,3,0,3.14423239170595,PSA,SIM,Hot,Para,10.14423239170595,0,0,0,1.1093980881378669,0.7151350601016296,0,1.1093980881378669,8.5,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,3,3
1532,0,0,0,0,17,0,Sp1,Hot Para,0,0,0,3,3,0,3.438208973452714,SIM,PSA,Hot,Para,10.438208973452713,0,0,0,0.7219198991542457,1.1814469597918942,0,1.1814469597918942,17,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,3,3
1532,0,0,0,9.5,0,0,Sp2,Hot Para,0,0,0,3,3,0,3.14423239170595,PSA,SIM,Hot,Para,10.14423239170595,0,0,0,1.1214935163351387,0.7151350601016296,0,1.1214935163351387,9.5,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,3,3
1536,0,0,0,0,26,0,Sp1,Hot Para,0,0,0,3,3,0,3.438208973452714,SIM,PSA,Hot,Para,10.438208973452713,0,0,0,0.7219198991542457,1.2302906027686848,0,1.2302906027686848,26,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,3,3
1536,0,0,0,3.5,0,0,Sp2,Hot Para,0,0,0,3,3,0,3.14423239170595,PSA,SIM,Hot,Para,10.14423239170595,0,0,0,1.0181354128944669,0.7151350601016296,0,1.0181354128944669,3.5,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,3,3
1543,0,0,0,0,7.5,0,Sp1,Hot Para,0,0,0,6,3,0,3.7531447473555763,SIM,PSA,Hot,Para,10.753144747355577,0,0,0,0.6833433229082518,1.0902894087842177,0,1.0902894087842177,7.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,3,6
1543,0,0,0,14.5,0,0,Sp2,Hot Para,0,0,0,6,3,0,3.168109657347407,PSA,SIM,Hot,Para,10.168109657347408,0,0,0,1.0913942271517265,0.7156983293793404,0,1.0913942271517265,14.5,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,6,3
1544,0,0,0,0,29,0,Sp1,Hot Para,0,0,0,6,3,0,3.7531447473555763,SIM,PSA,Hot,Para,10.753144747355577,0,0,0,0.6833433229082518,1.2352813220712189,0,1.2352813220712189,29,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,3,6
1544,0,0,0,26,0,0,Sp2,Hot Para,0,0,0,6,3,0,3.168109657347407,PSA,SIM,Hot,Para,10.168109657347408,0,0,0,1.1555621533703386,0.7156983293793404,0,1.1555621533703386,26,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,6,3
1548,0,0,0,0,9,0,Sp1,Hot Para,0,0,0,6,3,0,3.7531447473555763,SIM,PSA,Hot,Para,10.753144747355577,0,0,0,0.6833433229082518,1.1087066943891177,0,1.1087066943891177,9,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,3,6
