tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,FocalSpecies,OtherSp,Parasitism,ObsCount_Pairs,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
1245,0,0,4,0,0,0,Sp2,0,0,3,3,0,0,PAN,PSA,Para,4,3,4,3,3
1248,0,0,0,14,0,0,Sp1,0,0,3,3,0,0,PSA,PAN,Para,14,4,3,3,3
1248,0,0,4,0,0,0,Sp2,0,0,3,3,0,0,PAN,PSA,Para,4,3,4,3,3
1255,0,0,0,7,0,0,Sp1,0,0,6,3,0,0,PSA,PAN,Para,7,4,3,3,6
1255,0,0,17,0,0,0,Sp2,0,0,6,3,0,0,PAN,PSA,Para,17,3,4,6,3
1256,0,0,0,3,0,0,Sp1,0,0,6,3,0,0,PSA,PAN,Para,3,4,3,3,6
1256,0,0,16,0,0,0,Sp2,0,0,6,3,0,0,PAN,PSA,Para,16,3,4,6,3
1257,0,0,0,8,0,0,Sp1,0,0,6,3,0,0,PSA,PAN,Para,8,4,3,3,6
1257,0,0,30,0,0,0,Sp2,0,0,6,3,0,0,PAN,PSA,Para,30,3,4,6,3
1260,0,0,0,1,0,0,Sp1,0,0,6,3,0,0,PSA,PAN,Para,1,4,3,3,6
1260,0,0,19,0,0,0,Sp2,0,0,6,3,0,0,PAN,PSA,Para,19,3,4,6,3
1267,0,0,0,3,0,0,Sp1,0,0,9,3,0,0,PSA,PAN,Para,3,4,3,3,9
1267,0,0,17,0,0,0,Sp2,0,0,9,3,0,0,PAN,PSA,Para,17,3,4,9,3
1268,0,0,0,12,0,0,Sp1,0,0,9,3,0,0,PSA,PAN,Para,12,4,3,3,9
1268,0,0,24,0,0,0,Sp2,0,0,9,3,0,0,PAN,PSA,Para,24,3,4,9,3
1269,0,0,0,1,0,0,Sp1,0,0,9,3,0,0,PSA,PAN,Para,1,4,3,3,9
1269,0,0,54,0,0,0,Sp2,0,0,9,3,0,0,PAN,PSA,Para,54,3,4,9,3
1272,0,0,0,4,0,0,Sp1,0,0,9,3,0,0,PSA,PAN,Para,4,4,3,3,9
1272,0,0,37,0,0,0,Sp2,0,0,9,3,0,0,PAN,PSA,Para,37,3,4,9,3
1279,0,0,0,4,0,0,Sp1,0,0,12,3,0,0,PSA,PAN,Para,4,4,3,3,12
1279,0,0,20,0,0,0,Sp2,0,0,12,3,0,0,PAN,PSA,Para,20,3,4,12,3
1280,0,0,0,2,0,0,Sp1,0,0,12,3,0,0,PSA,PAN,Para,2,4,3,3,12
1280,0,0,29,0,0,0,Sp2,0,0,12,3,0,0,PAN,PSA,Para,29,3,4,12,3
1281,0,0,0,0,0,0,Sp1,0,0,12,3,0,0,PSA,PAN,Para,0,4,3,3,12
1281,0,0,17,0,0,0,Sp2,0,0,12,3,0,0,PAN,PSA,Para,17,3,4,12,3
1284,0,0,0,5,0,0,Sp1,0,0,12,3,0,0,PSA,PAN,Para,5,4,3,3,12
1284,0,0,18,0,0,0,Sp2,0,0,12,3,0,0,PAN,PSA,Para,18,3,4,12,3
1291,0,0,0,8,0,0,Sp1,0,0,3,6,0,0,PSA,PAN,Para,8,4,3,6,3
1291,0,0,1,0,0,0,Sp2,0,0,3,6,0,0,PAN,PSA,Para,1,3,4,3,6
1292,0,0,0,16,0,0,Sp1,0,0,3,6,0,0,PSA,PAN,Para,16,4,3,6,3
1292,0,0,6,0,0,0,Sp2,0,0,3,6,0,0,PAN,PSA,Para,6,3,4,3,6
1293,0,0,0,17,0,0,Sp1,0,0,3,6,0,0,PSA,PAN,Para,17,4,3,6,3
1293,0,0,8,0,0,0,Sp2,0,0,3,6,0,0,PAN,PSA,Para,8,3,4,3,6
1296,0,0,0,48,0,0,Sp1,0,0,3,6,0,0,PSA,PAN,Para,48,4,3,6,3
1296,0,0,9,0,0,0,Sp2,0,0,3,6,0,0,PAN,PSA,Para,9,3,4,3,6
1303,0,0,0,15,0,0,Sp1,0,0,3,9,0,0,PSA,PAN,Para,15,4,3,9,3
1303,0,0,4,0,0,0,Sp2,0,0,3,9,0,0,PAN,PSA,Para,4,3,4,3,9
1304,0,0,0,24,0,0,Sp1,0,0,3,9,0,0,PSA,PAN,Para,24,4,3,9,3
1304,0,0,0,0,0,0,Sp2,0,0,3,9,0,0,PAN,PSA,Para,0,3,4,3,9
1305,0,0,0,7,0,0,Sp1,0,0,3,9,0,0,PSA,PAN,Para,7,4,3,9,3
1305,0,0,13,0,0,0,Sp2,0,0,3,9,0,0,PAN,PSA,Para,13,3,4,3,9
1308,0,0,0,19,0,0,Sp1,0,0,3,9,0,0,PSA,PAN,Para,19,4,3,9,3
1308,0,0,13,0,0,0,Sp2,0,0,3,9,0,0,PAN,PSA,Para,13,3,4,3,9
1315,0,0,0,13,0,0,Sp1,0,0,3,12,0,0,PSA,PAN,Para,13,4,3,12,3
